# Example files (used in generateExamples):
# example_braille_file = RustTestData/Nemeth.brls
# example_mathml_file = RustTestData/Nemeth.mmls
#
# Input files:
# input_braille_file = test_data/Nemeth
# input_mathml_file = test_data/MathML
#
# Configuration variables:
# braille_code = Nemeth
# gen_braille = False
# model = gemini-2.5-pro
# apiKeyName = GEMINI_API_KEY
# batch_size = 50
# n_examples = 0
# chunk = slice(0, 2160)
#
# instructions = 
# You are an expert Braille translator specializing in Nemeth braille. The user will provide a python list of strings, where each string is composed of Unicode Nemeth Braille characters.  Here are two examples: '⠠⠑⠀⠨⠅⠀⠍⠉⠘⠆' and  '⠎⠊⠝⠀⠷⠨⠹⠾'. Your task is to translate each exact Braille sequence of characters into valid MathML code. For each braille input, output ONLY the raw MathML string starting with <math> and ending with </math>. Every element in the MathML must be properly closed and nested. Do not include markdown formatting, explanations, or any other text. Do not include any newlines or carriage returns. Add '|next-item|' between each MathML output. Below are some examples of braille/MathML pairs separated by '|' that should be considered the ground truth:
# 
#
# 150 items. Usage info: prompt=6770, candidates=9071, total=116684, time=54234ms, TPS=5978.833645684048.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠷⠭⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✗ | ⠈⠷⠴⠠⠀⠨⠏⠈⠾⠸⠲ | <math> <mrow> <mrow> <mo>[</mo> <mrow> <mn>0</mn> <mo>,</mo> <mi>π</mi> </mrow> <mo>]</mo> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mn>4.</mn> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>P</mi> <mo>.</mo> </mrow> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠞⠀⠨⠅⠀⠁⠗⠉⠉⠕⠎⠀⠷⠽⠾ | <math> <mrow> <mi>t</mi> <mo>=</mo> <mrow> <mi>arccos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>y</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mi>t</mi> <mo>=</mo> <mrow> <mi>arccos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>y</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠞⠀⠨⠅⠀⠁⠗⠉⠉⠕⠎⠀⠷⠽⠾⠸⠲ | <math> <mrow> <mrow> <mi>t</mi> <mo>=</mo> <mrow> <mi>arccos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>y</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>t</mi> <mo>=</mo> <mrow> <mi>arccos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>y</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠁⠗⠉⠉⠕⠎⠀⠷⠹⠂⠌⠆⠼⠾ | <math> <mrow> <mi>arccos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mfrac> <mn>1</mn> <mn>2</mn> </mfrac> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>arccos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mfrac> <mn>91</mn> <mn>2</mn> </mfrac> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠤⠹⠨⠏⠌⠆⠼⠀⠐⠅⠱⠀⠞⠀⠐⠅⠱⠀⠹⠨⠏⠌⠆⠼ | <math> <mrow> <mrow> <mo>-</mo> <mfrac> <mi>π</mi> <mn>2</mn> </mfrac> </mrow> <mo>≤</mo> <mi>t</mi> <mo>≤</mo> <mfrac> <mi>π</mi> <mn>2</mn> </mfrac> </mrow> </math> | <math> <mrow> <mrow> <mo>-</mo> <mfrac> <mrow> <mn>9</mn> <mo>⁢</mo> <mi>π</mi> </mrow> <mn>2</mn> </mfrac> </mrow> <mo>&lt;</mo> <mi>t</mi> <mo>&lt;</mo> <mfrac> <mrow> <mn>9</mn> <mo>⁢</mo> <mi>π</mi> </mrow> <mn>2</mn> </mfrac> </mrow> </math>
✗ | ⠁⠗⠉⠎⠊⠝⠀⠷⠹⠂⠌⠆⠼⠾⠠ | <math> <mrow> <mrow> <mi>arcsin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mfrac> <mn>1</mn> <mn>2</mn> </mfrac> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>arcsin</mi> <mo>⁡</mo> <msup> <mrow> <mo>(</mo> <mfrac> <mn>91</mn> <mn>2</mn> </mfrac> <mo>)</mo> </mrow> <mo>′</mo> </msup> </mrow> </math>
✗ | ⠁⠗⠉⠎⠊⠝⠀⠷⠹⠜⠒⠻⠌⠆⠼⠾⠸⠲ | <math> <mrow> <mrow> <mi>arcsin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mfrac> <msqrt> <mn>3</mn> </msqrt> <mn>2</mn> </mfrac> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>arcsin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mfrac> <msqrt> <mn>2</mn> </msqrt> <mn>2</mn> </mfrac> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠞⠁⠝⠀⠷⠁⠗⠉⠎⠊⠝⠀⠷⠤⠹⠜⠆⠻⠌⠆⠼⠾⠾ | <math> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mi>arcsin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mfrac> <msqrt> <mn>2</mn> </msqrt> <mn>2</mn> </mfrac> </mrow> <mo>)</mo> </mrow> </mrow> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mi>arcsin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mfrac> <msqrt> <mn>2</mn> </msqrt> <mn>2</mn> </mfrac> </mrow> <mo>)</mo> </mrow> </mrow> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠠⠙⠷⠂⠆⠴⠾⠀⠨⠅⠀⠼⠶⠴⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>D</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>120</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>70</mn> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>D</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>124</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>64</mn> </mrow> </math>
✗ | ⠈⠷⠴⠠⠀⠠⠿⠾⠸⠲ | <math> <mrow> <mrow> <mo>[</mo> <mrow> <mn>0</mn> <mo>,</mo> <mi>∞</mi> </mrow> <mo>)</mo> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mn>4.</mn> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mo>.</mo> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠰⠠⠋⠀⠿ | <math> <mrow> <mi>F</mi> <mo>?</mo> </mrow> </math> | <math> <mrow> <msup> <mi>F</mi> <mo>′</mo> </msup> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠞⠀⠨⠅⠀⠼⠶⠀⠿ | <math> <mrow> <mrow> <mi>t</mi> <mo>=</mo> <mn>7</mn> </mrow> <mo>?</mo> </mrow> </math> | <math> <mrow> <mi>t</mi> <mo>=</mo> <mrow> <mn>6</mn> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠼⠒⠨⠴ | <math> <mn>3.0</mn> </math> | <math> <mn>3.4</mn> </math>
✗ | ⠼⠶⠨⠴ | <math> <mn>7.0</mn> </math> | <math> <mn>6.4</mn> </math>
✗ | ⠉⠕⠎⠀⠷⠨⠃⠾⠀⠿ | <math> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>β</mi> <mo>)</mo> </mrow> </mrow> <mo>?</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>B</mi> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠛⠷⠆⠾⠀⠨⠅⠀⠼⠲⠠ | <math> <mrow> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>4</mn> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>4.</mn> </mrow> </math>
✗ | ⠞⠤⠂⠀⠨⠅⠀⠜⠤⠢⠷⠽⠤⠒⠾⠻⠀⠕⠗⠀⠞⠤⠂⠀⠨⠅⠀⠤⠜⠤⠢⠷⠽⠤⠒⠾⠻⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>t</mi> <mo>-</mo> <mn>1</mn> </mrow> <mo>=</mo> <mrow> <mrow> <msqrt> <mrow> <mrow> <mo>-</mo> <mn>5</mn> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>y</mi> <mo>-</mo> <mn>3</mn> </mrow> <mo>)</mo> </mrow> </mrow> </msqrt> <mo>⁢</mo> <mi> or </mi> <mo>⁢</mo> <mi>t</mi> </mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <msqrt> <mrow> <mrow> <mo>-</mo> <mn>5</mn> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>y</mi> <mo>-</mo> <mn>3</mn> </mrow> <mo>)</mo> </mrow> </mrow> </msqrt> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>t</mi> <mo>-</mo> <mn>1</mn> </mrow> <mo>=</mo> <mrow> <mrow> <msqrt> <mrow> <mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>y</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> </msqrt> <mo>⁢</mo> <mi>or</mi> <mo>⁢</mo> <mi>t</mi> </mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <msqrt> <mrow> <mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>y</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> </msqrt> </mrow> </mrow> </math>
✓ | ⠛⠘⠤⠂⠐⠷⠠⠉⠾⠀⠨⠅ | <math> <mrow> <mrow> <msup> <mi>g</mi> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </msup> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>C</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <msup> <mi>g</mi> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </msup> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>C</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✗ | ⠗⠀⠨⠅⠀⠹⠂⠌⠆⠼⠓⠠ | <math> <mrow> <mrow> <mi>r</mi> <mo>=</mo> <mrow> <mfrac> <mn>1</mn> <mn>2</mn> </mfrac> <mo>⁢</mo> <mi>h</mi> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>r</mi> <mo>=</mo> <mrow> <mfrac> <mn>91</mn> <mn>2</mn> </mfrac> <mo>⁢</mo> <msup> <mi>h</mi> <mo>′</mo> </msup> </mrow> </mrow> </math>
✗ | ⠳⠭⠳ | <math> <mrow> <mo>|</mo> <mi>x</mi> <mo>|</mo> </mrow> </math> | <math> <msup> <mi>x</mi> <mn>2</mn> </msup> </math>
✗ | ⠞⠴ | <math> <msub> <mi>t</mi> <mn>0</mn> </msub> </math> | <math> <msub> <mi>t</mi> <mn>4</mn> </msub> </math>
✓ | ⠞⠂ | <math> <msub> <mi>t</mi> <mn>1</mn> </msub> </math> | <math> <msub> <mi>t</mi> <mn>1</mn> </msub> </math>
✗ | ⠨⠃⠀⠨⠅⠀⠹⠒⠨⠏⠌⠲⠼⠸⠲ | <math> <mrow> <mrow> <mi>β</mi> <mo>=</mo> <mfrac> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>π</mi> </mrow> <mn>4</mn> </mfrac> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>B</mi> <mo>=</mo> <mfrac> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>π</mi> </mrow> <mn>4</mn> </mfrac> </mrow> </math>
✗ | ⠹⠆⠨⠏⠌⠒⠼⠸⠲ | <math> <mrow> <mfrac> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>π</mi> </mrow> <mn>3</mn> </mfrac> <mo>.</mo> </mrow> </math> | <math> <mfrac> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>π</mi> </mrow> <mn>3</mn> </mfrac> </math>
✗ | ⠹⠨⠏⠌⠒⠼⠠ | <math> <mrow> <mfrac> <mi>π</mi> <mn>3</mn> </mfrac> <mo>,</mo> </mrow> </math> | <math> <msup> <mfrac> <mi>π</mi> <mn>3</mn> </mfrac> <mo>′</mo> </msup> </math>
✗ | ⠹⠆⠨⠏⠌⠒⠼⠠ | <math> <mrow> <mfrac> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>π</mi> </mrow> <mn>3</mn> </mfrac> <mo>,</mo> </mrow> </math> | <math> <msup> <mfrac> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>π</mi> </mrow> <mn>3</mn> </mfrac> <mo>′</mo> </msup> </math>
✗ | ⠠⠧⠀⠨⠅⠀⠹⠨⠏⠌⠂⠆⠼⠓⠘⠒⠠ | <math> <mrow> <mrow> <mi>V</mi> <mo>=</mo> <mrow> <mfrac> <mi>π</mi> <mn>12</mn> </mfrac> <mo>⁢</mo> <msup> <mi>h</mi> <mn>3</mn> </msup> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>V</mi> <mo>=</mo> <mrow> <mfrac> <mi>π</mi> <mn>12</mn> </mfrac> <mo>⁢</mo> <msup> <msup> <mi>h</mi> <mn>2</mn> </msup> <mo>′</mo> </msup> </mrow> </mrow> </math>
✗ | ⠓⠘⠒⠀⠨⠅⠀⠹⠂⠆⠌⠨⠏⠼⠠⠧⠠ | <math> <mrow> <mrow> <msup> <mi>h</mi> <mn>3</mn> </msup> <mo>=</mo> <mrow> <mfrac> <mn>12</mn> <mi>π</mi> </mfrac> <mo>⁢</mo> <mi>V</mi> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <msup> <mi>h</mi> <mn>2</mn> </msup> <mo>=</mo> <mrow> <mfrac> <mn>12</mn> <mi>π</mi> </mfrac> <mo>⁢</mo> <msup> <mi>V</mi> <mo>′</mo> </msup> </mrow> </mrow> </math>
✗ | ⠼⠴⠨⠴⠂⠀⠐⠅⠱⠀⠠⠍⠀⠐⠅⠱⠀⠼⠂⠴⠸⠆ | <math> <mrow> <mrow> <mn>0.01</mn> <mo>≤</mo> <mi>M</mi> <mo>≤</mo> <mn>10</mn> </mrow> <mo>;</mo> </mrow> </math> | <math> <mrow> <mn>4.41</mn> <mo>&lt;</mo> <mi>M</mi> <mo>&lt;</mo> <mn>14.6</mn> </mrow> </math>
✗ | ⠈⠷⠴⠠⠀⠆⠈⠾⠠ | <math> <mrow> <mrow> <mo>[</mo> <mrow> <mn>0</mn> <mo>,</mo> <mn>2</mn> </mrow> <mo>]</mo> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mn>4.</mn> <mo>)</mo> </mrow> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mn>2.</mn> <mo>)</mo> </mrow> <mo>′</mo> </msup> </mrow> </math>
✗ | ⠠⠝⠷⠞⠾⠀⠨⠅⠀⠹⠠⠇⠌⠂⠬⠠⠁⠃⠘⠤⠅⠞⠐⠼⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>N</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mi>L</mi> <mrow> <mn>1</mn> <mo>+</mo> <mrow> <mi>A</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mrow> <mrow> <mo>-</mo> <mi>k</mi> </mrow> <mo>⁢</mo> <mi>t</mi> </mrow> </msup> </mrow> </mrow> </mfrac> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>N</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mi>L</mi> <mrow> <mn>1</mn> <mo>+</mo> <mrow> <mi>A</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mrow> <mrow> <mo>-</mo> <mi>k</mi> </mrow> <mo>⁢</mo> <mi>t</mi> </mrow> </msup> </mrow> </mrow> </mfrac> </mrow> </math>
✓ | ⠠⠁⠷⠞⠾⠀⠨⠅⠀⠁⠑⠘⠤⠅⠞⠐⠬⠉ | <math> <mrow> <mrow> <mi>A</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>e</mi> <mrow> <mrow> <mo>-</mo> <mi>k</mi> </mrow> <mo>⁢</mo> <mi>t</mi> </mrow> </msup> </mrow> <mo>+</mo> <mi>c</mi> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>A</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>e</mi> <mrow> <mrow> <mo>-</mo> <mi>k</mi> </mrow> <mo>⁢</mo> <mi>t</mi> </mrow> </msup> </mrow> <mo>+</mo> <mi>c</mi> </mrow> </mrow> </math>
✗ | ⠽⠀⠨⠅⠀⠏⠷⠭⠾⠀⠨⠅⠀⠼⠒⠭⠤⠲ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>4</mn> </mrow> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>4</mn> </mrow> </mrow> </math>
✗ | ⠭⠀⠨⠅⠀⠟⠷⠞⠾⠀⠨⠅⠀⠞⠘⠆⠐⠤⠂⠸⠲ | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <msup> <mi>t</mi> <mn>2</mn> </msup> <mo>-</mo> <mn>1</mn> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>=</mo> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <msup> <mi>t</mi> <mn>2</mn> </msup> <mo>-</mo> <mn>1</mn> </mrow> </mrow> </math>
✗ | ⠓⠀⠌⠨⠅⠀⠼⠴⠠ | <math> <mrow> <mrow> <mi>h</mi> <mo>≠</mo> <mn>0</mn> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mfrac> <mi>h</mi> <mi>k</mi> </mfrac> <mo>=</mo> <mn>4.</mn> </mrow> </math>
✗ | ⠰⠋⠸⠒ | <math> <mrow> <mi>f</mi> <mo>:</mo> </mrow> </math> | <math> <msub> <mi>f</mi> <mn>3</mn> </msub> </math>
✗ | ⠹⠒⠌⠶⠼ | <math> <mfrac> <mn>3</mn> <mn>7</mn> </mfrac> </math> | <math> <mfrac> <mn>3</mn> <mn>6</mn> </mfrac> </math>
✓ | ⠠⠉⠀⠨⠅⠀⠠⠇⠷⠞⠾ | <math> <mrow> <mi>C</mi> <mo>=</mo> <mrow> <mi>L</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mi>C</mi> <mo>=</mo> <mrow> <mi>L</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✓ | ⠼⠂⠖⠨⠆⠀⠅⠍⠘⠆ | <math> <mrow> <mn>16.2</mn> <mo>⁢</mo> <msup> <mi>km</mi> <mn>2</mn> </msup> </mrow> </math> | <math> <mrow> <mn>16.2</mn> <mo>⁢</mo> <msup> <mi>km</mi> <mn>2</mn> </msup> </mrow> </math>
✓ | ⠠⠁⠀⠨⠅⠀⠋⠷⠠⠗⠾⠸⠲ | <math> <mrow> <mrow> <mi>A</mi> <mo>=</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>R</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>A</mi> <mo>=</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>R</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠽⠀⠨⠅⠀⠍⠷⠭⠾⠀⠨⠅⠀⠎⠷⠭⠤⠆⠾⠤⠂⠸⠲ | <math> <mrow> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>m</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>s</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mn>1</mn> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>m</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>s</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mn>1</mn> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠰⠺⠸⠲ | <math> <mrow> <mi>w</mi> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>ω</mi> <mo>.</mo> </mrow> </math>
✓ | ⠷⠭⠠⠀⠤⠽⠾⠠ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>,</mo> <mrow> <mo>-</mo> <mi>y</mi> </mrow> </mrow> <mo>)</mo> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>,</mo> <mrow> <mo>-</mo> <mi>y</mi> </mrow> </mrow> <mo>)</mo> </mrow> <mo>,</mo> </mrow> </math>
✗ | ⠽⠀⠨⠅⠀⠛⠷⠭⠾⠀⠨⠅⠀⠼⠒⠗⠷⠭⠾ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>3</mn> <mo>⁢</mo> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> </math>
✓ | ⠼⠆⠗⠷⠭⠬⠂⠾⠤⠂⠀⠌⠨⠅⠀⠼⠆⠈⠷⠗⠷⠭⠬⠂⠾⠤⠂⠈⠾⠸⠲ | <math> <mrow> <mrow> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>r</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>+</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>≠</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <mrow> <mo>[</mo> <mrow> <mrow> <mi>r</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>+</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>]</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>r</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>+</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>≠</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <mrow> <mo>[</mo> <mrow> <mrow> <mi>r</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>+</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>]</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠅⠷⠆⠾ | <math> <mrow> <mi>k</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>k</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠷⠔⠠⠀⠲⠾⠸⠲ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mn>9</mn> <mo>,</mo> <mn>4</mn> </mrow> <mo>)</mo> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mn>4</mn> <mo>,</mo> <mo>.</mo> </mrow> <mo>)</mo> </mrow> <mo>.</mo> </mrow> </math>
