# Example files (used in generateExamples):
# example_braille_file = RustTestData/UEB.brls
# example_mathml_file = RustTestData/UEB.mmls
#
# Input files:
# input_braille_file = test_data/UEB
# input_mathml_file = test_data/MathML
#
# Configuration variables:
# braille_code = UEB
# gen_braille = True
# model = gemini-2.5-pro
# apiKeyName = GEMINI_API_KEY
# batch_size = 50
# n_examples = 0
# chunk = slice(0, 2160)
#
# instructions = 
# You are an expert Braille translator specializing in UEB braille. The user will provide a python list of strings, where each string is composed of represents math encoded in MathML (e.g., <math><mi>f</mi><mrow><mo>(</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>)</mo></mrow></math>). Your task is to translate each MathML expression into valid UEB braille using only Unicode braille characters. For each MathML input, output ONLY the raw Unicode braille characters. (e.g., '⠋⠷⠹⠂⠌⠆⠼⠾')It is important to pay attention to generating Unicode braille spaces when needed in the braille. It is also important to pay attention when to generate grade 1 indicators ⠰, grade 1 word indicators ⠰⠰, and grade 1 passage indicators ⠰⠰⠰ when appropriate. These are very common at the start of the translation.Do not include markdown formatting, explanations, or any other text.Add '|next-item|' between each braille output. Below are some examples of braille/MathML pairs separated by '|' that should be considered the ground truth:
# 
#
# 300 items. Usage info: prompt=25358, candidates=15377, total=158959, time=86263ms, TPS=5609.871886583859.2f
#
# Match | Test Input | Expected | Computed
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | ⠋⠐⠣⠭⠐⠜ | ⠰⠋⠷⠰⠭⠾
✗ | <math><mrow><mo stretchy="false">(</mo><mn>4</mn><mi>q</mi><mo>−</mo><mn>3</mn><mi>p</mi><mo stretchy="false">)</mo><mo>(</mo><mn>16</mn><msup><mi>q</mi><mn>2</mn></msup><mo>+</mo><mn>12</mn><mi>p</mi><mi>q</mi><mo>+</mo><mn>9</mn><msup><mi>p</mi><mn>2</mn></msup><mo>)</mo></mrow></math> | ⠐⠣⠼⠙⠟⠐⠤⠼⠉⠏⠐⠜⠐⠣⠼⠁⠋⠟⠔⠼⠃⠐⠖⠼⠁⠃⠏⠟⠐⠖⠼⠊⠏⠔⠼⠃⠐⠜ | ⠷⠼⠲⠟⠤⠼⠒⠏⠾⠷⠼⠂⠖⠟⠘⠆⠬⠼⠂⠆⠏⠟⠬⠼⠔⠏⠘⠆⠾
✗ | <math><mn>11</mn></math> | ⠼⠁⠁ | ⠼⠂⠂
✗ | <math><mrow><mrow><mo>(</mo><mrow><mn>7</mn><mo>,</mo><mn>5</mn></mrow><mo>)</mo></mrow><mo>,</mo><mrow><mo>(</mo><mrow><mo>−</mo><mn>1</mn><mo>,</mo><mn>5</mn></mrow><mo>)</mo></mrow><mo>.</mo></mrow></math> | ⠐⠣⠼⠛⠂⠀⠼⠑⠐⠜⠂⠀⠐⠣⠐⠤⠼⠁⠂⠀⠼⠑⠐⠜⠲ | ⠷⠼⠶⠂⠼⠢⠾⠂⠀⠷⠤⠼⠂⠂⠼⠢⠾⠲
✗ | <math><mrow><mrow><mo>(</mo><mrow><mn>0</mn><mo>,</mo><mn>2</mn></mrow><mo>)</mo></mrow><mo>,</mo><mrow><mo>(</mo><mrow><mn>0</mn><mo>,</mo><mo>−</mo><mn>2</mn></mrow><mo>)</mo></mrow><mo>;</mo></mrow></math> | ⠐⠣⠼⠚⠂⠀⠼⠃⠐⠜⠂⠀⠐⠣⠼⠚⠂⠀⠐⠤⠼⠃⠐⠜⠆ | ⠷⠼⠴⠂⠼⠆⠾⠂⠀⠷⠼⠴⠂⠀⠤⠼⠆⠾⠆
✗ | <math><mrow><mo>(</mo><mrow><mn>4</mn><mo>,</mo><mn>−2</mn></mrow><mo>)</mo></mrow></math> | ⠐⠣⠼⠙⠂⠀⠐⠤⠼⠃⠐⠜ | ⠷⠼⠲⠂⠀⠤⠼⠆⠾
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><msub><mi>a</mi><mi>n</mi></msub><msup><mi>x</mi><mi>n</mi></msup><mo>+</mo><msub><mi>a</mi><mrow><mi>n</mi><mo>−</mo><mn>1</mn></mrow></msub><msup><mi>x</mi><mrow><mi>n</mi><mo>−</mo><mn>1</mn></mrow></msup><mo>+</mo><mn>...</mn><mo>+</mo><msub><mi>a</mi><mn>1</mn></msub><mi>x</mi><mo>+</mo><msub><mi>a</mi><mn>0</mn></msub></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠰⠁⠢⠝⠭⠔⠝⠐⠖⠁⠢⠣⠝⠐⠤⠼⠁⠜⠭⠔⠣⠝⠐⠤⠼⠁⠜⠐⠖⠼⠲⠲⠲⠐⠖⠁⠢⠼⠁⠭⠐⠖⠁⠢⠼⠚ | ⠋⠷⠭⠾⠀⠨⠅⠀⠁⠂⠝⠭⠘⠝⠬⠁⠂⠝⠤⠂⠭⠘⠝⠤⠂⠬⠲⠲⠲⠬⠁⠂⠂⠭⠬⠁⠂⠴
✗ | <math><mrow><mrow><mo>(</mo><mrow><mo>−</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>6</mn><mi>x</mi><mo>+</mo><mn>24</mn></mrow><mo>)</mo></mrow><mo>÷</mo><mrow><mo>(</mo><mrow><mi>x</mi><mo>−</mo><mn>4</mn></mrow><mo>)</mo></mrow></mrow></math> | ⠐⠣⠐⠤⠼⠉⠭⠔⠼⠃⠐⠖⠼⠋⠭⠐⠖⠼⠃⠙⠐⠜⠐⠌⠐⠣⠭⠐⠤⠼⠙⠐⠜ | ⠷⠤⠼⠒⠭⠘⠆⠬⠼⠖⠭⠬⠼⠆⠲⠾⠀⠨⠌⠀⠷⠭⠤⠼⠲⠾
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><msup><mi>x</mi><mn>3</mn></msup><mo>−</mo><mn>9</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>13</mn><mi>x</mi><mo>−</mo><mn>6</mn><mo>;</mo><mspace width="0.5em"></mspace><mtext>&lt;mtext/&gt;</mtext><mi>x</mi><mo>−</mo><mn>1</mn></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠭⠔⠼⠉⠐⠤⠼⠊⠭⠔⠼⠃⠐⠖⠼⠁⠉⠭⠐⠤⠼⠋⠆⠀⠈⠣⠍⠞⠑⠭⠞⠸⠌⠈⠜⠭⠐⠤⠼⠁ | ⠋⠷⠭⠾⠀⠨⠅⠀⠼⠆⠭⠘⠒⠤⠼⠔⠭⠘⠆⠬⠼⠂⠒⠭⠤⠼⠖⠆⠀⠭⠤⠼⠂
✗ | <math><mrow><mroot><mn>128</mn><mn>3</mn></mroot><mo>+</mo><mn>3</mn><mroot><mn>2</mn><mn>3</mn></mroot></mrow></math> | ⠰⠰⠩⠔⠼⠉⠼⠁⠃⠓⠬⠐⠖⠼⠉⠩⠔⠼⠉⠼⠃⠬ | ⠣⠒⠜⠼⠂⠆⠦⠜⠬⠼⠒⠣⠒⠜⠼⠆⠜
✗ | <math><mrow><mi>tan</mi><mrow><mo>(</mo><mrow><mfrac><mn>5</mn><mn>8</mn></mfrac><mi>x</mi></mrow><mo>)</mo></mrow></mrow></math> | ⠞⠁⠝⠐⠣⠼⠑⠌⠓⠭⠐⠜ | ⠰⠰⠞⠁⠝⠷⠹⠼⠢⠌⠼⠦⠼⠭⠾
✗ | <math><mrow><mo>(</mo><mrow><mi>p</mi><mo>,</mo><mn>0</mn></mrow><mo>)</mo></mrow></math> | ⠐⠣⠰⠏⠂⠀⠼⠚⠐⠜ | ⠷⠏⠂⠀⠼⠴⠾
✗ | <math><mtable><mtr><mtd columnalign="left"><mrow><mfrac><mrow><mn>2</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mi>x</mi><mo>−</mo><mn>6</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>1</mn></mrow></mfrac><mo>⋅</mo><mfrac><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>2</mn><mi>x</mi><mo>+</mo><mn>1</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>4</mn></mrow></mfrac></mrow></mtd><mtd columnalign="left"><mrow><mspace width="2em"></mspace><mtext>Rewrite as multiplication.</mtext></mrow></mtd></mtr><mtr><mtd columnalign="left"><mrow><mfrac><mrow><mo>(</mo><mn>2</mn><mi>x</mi><mo>−</mo><mn>3</mn><mo>)</mo><mo>(</mo><mi>x</mi><mo>+</mo><mn>2</mn><mo>)</mo></mrow><mrow><mo>(</mo><mi>x</mi><mo>+</mo><mn>1</mn><mo>)</mo><mo>(</mo><mi>x</mi><mo>−</mo><mn>1</mn><mo>)</mo></mrow></mfrac><mo>⋅</mo><mfrac><msup><mrow><mo>(</mo><mi>x</mi><mo>+</mo><mn>1</mn><mo>)</mo></mrow><mn>2</mn></msup><mrow><mo>(</mo><mi>x</mi><mo>+</mo><mn>2</mn><mo>)</mo><mo>(</mo><mi>x</mi><mo>−</mo><mn>2</mn><mo>)</mo></mrow></mfrac></mrow></mtd><mtd columnalign="left"><mrow><mspace width="2em"></mspace><mtext>Factor.</mtext></mrow></mtd></mtr><mtr><mtd columnalign="left"><mfrac><mrow><mo stretchy="false">(</mo><mn>2</mn><mi>x</mi><mo>−</mo><mn>3</mn><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo>+</mo><mn>2</mn><mo stretchy="false">)</mo><msup><mrow><mo>(</mo><mi>x</mi><mo>+</mo><mn>1</mn><mo>)</mo></mrow><mn>2</mn></msup></mrow><mrow><mo>(</mo><mi>x</mi><mo>+</mo><mn>1</mn><mo>)</mo><mo>(</mo><mi>x</mi><mo>−</mo><mn>1</mn><mo>)</mo><mo>(</mo><mi>x</mi><mo>+</mo><mn>2</mn><mo>)</mo><mo>(</mo><mi>x</mi><mo>−</mo><mn>2</mn><mo>)</mo></mrow></mfrac></mtd><mtd columnalign="left"><mrow><mspace width="2em"></mspace><mtext>Multiply.</mtext></mrow></mtd></mtr><mtr><mtd columnalign="left"><mfrac><mrow><mo>(</mo><mn>2</mn><mi>x</mi><mo>−</mo><mn>3</mn><mo>)</mo><mo>(</mo><mi>x</mi><mo>+</mo><mn>1</mn><mo>)</mo></mrow><mrow><mo>(</mo><mi>x</mi><mo>−</mo><mn>1</mn><mo>)</mo><mo>(</mo><mi>x</mi><mo>−</mo><mn>2</mn><mo>)</mo></mrow></mfrac></mtd><mtd columnalign="left"><mrow><mspace width="2em"></mspace><mtext>Cancel common factors to simplify.</mtext></mrow></mtd></mtr></mtable></math> | ⠰⠰⠰⠠⠷⠼⠃⠭⠔⠼⠃⠐⠖⠭⠐⠤⠼⠋⠨⠌⠭⠔⠼⠃⠐⠤⠼⠁⠾⠐⠲⠷⠭⠔⠼⠃⠐⠖⠼⠃⠭⠐⠖⠼⠁⠨⠌⠭⠔⠼⠃⠐⠤⠼⠙⠾⠀⠬⠠⠗⠑⠺⠗⠊⠞⠑⠀⠁⠎⠀⠍⠥⠇⠞⠊⠏⠇⠊⠉⠁⠞⠊⠕⠝⠲⠠⠠⠷⠐⠣⠼⠃⠭⠐⠤⠼⠉⠐⠜⠐⠣⠭⠐⠖⠼⠃⠐⠜⠨⠌⠐⠣⠭⠐⠖⠼⠁⠐⠜⠐⠣⠭⠐⠤⠼⠁⠐⠜⠾⠐⠲⠷⠐⠣⠭⠐⠖⠼⠁⠐⠜⠔⠼⠃⠨⠌⠐⠣⠭⠐⠖⠼⠃⠐⠜⠐⠣⠭⠐⠤⠼⠃⠐⠜⠾⠀⠬⠠⠋⠁⠉⠞⠕⠗⠲⠠⠠⠷⠐⠣⠼⠃⠭⠐⠤⠼⠉⠐⠜⠐⠣⠭⠐⠖⠼⠃⠐⠜⠐⠣⠭⠐⠖⠼⠁⠐⠜⠔⠼⠃⠨⠌⠐⠣⠭⠐⠖⠼⠁⠐⠜⠐⠣⠭⠐⠤⠼⠁⠐⠜⠐⠣⠭⠐⠖⠼⠃⠐⠜⠐⠣⠭⠐⠤⠼⠃⠐⠜⠾⠀⠬⠠⠍⠥⠇⠞⠊⠏⠇⠽⠲⠠⠠⠷⠐⠣⠼⠃⠭⠐⠤⠼⠉⠐⠜⠐⠣⠭⠐⠖⠼⠁⠐⠜⠨⠌⠐⠣⠭⠐⠤⠼⠁⠐⠜⠐⠣⠭⠐⠤⠼⠃⠐⠜⠾⠀⠬⠠⠉⠁⠝⠉⠑⠇⠀⠉⠕⠍⠍⠕⠝⠀⠋⠁⠉⠞⠕⠗⠎⠀⠞⠕⠀⠎⠊⠍⠏⠇⠊⠋⠽⠲⠠⠰⠄ | ⠹⠷⠼⠆⠭⠤⠼⠒⠾⠷⠭⠬⠼⠂⠾⠌⠷⠭⠤⠼⠂⠾⠷⠭⠤⠼⠆⠾⠼
✗ | <math><mrow><mn>0</mn><mo>+</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mi>i</mi><mo>.</mo></mrow></math> | ⠼⠚⠐⠖⠼⠁⠌⠃⠰⠊⠲ | ⠼⠴⠬⠹⠼⠂⠌⠼⠆⠼⠊⠲
✗ | <math><mrow><mrow><mo>(</mo><mrow><mn>−5</mn><mo>+</mo><mn>3</mn><mi>i</mi></mrow><mo>)</mo></mrow><mo>−</mo><mo stretchy="false">(</mo><mn>6</mn><mo>−</mo><mi>i</mi><mo stretchy="false">)</mo></mrow></math> | ⠐⠣⠐⠤⠼⠑⠐⠖⠼⠉⠰⠊⠐⠜⠐⠤⠐⠣⠼⠋⠐⠤⠊⠐⠜ | ⠷⠤⠼⠢⠬⠼⠒⠊⠾⠤⠷⠼⠖⠤⠊⠾
✗ | <math><mrow><mrow><mo>(</mo><mrow><mn>2</mn><mo>−</mo><mn>3</mn><mi>i</mi></mrow><mo>)</mo></mrow><mo>−</mo><mo stretchy="false">(</mo><mn>3</mn><mo>+</mo><mn>2</mn><mi>i</mi><mo stretchy="false">)</mo></mrow></math> | ⠐⠣⠼⠃⠐⠤⠼⠉⠰⠊⠐⠜⠐⠤⠐⠣⠼⠉⠐⠖⠼⠃⠰⠊⠐⠜ | ⠷⠼⠆⠤⠼⠒⠊⠾⠤⠷⠼⠒⠬⠼⠆⠊⠾
✗ | <math><msup><mi>i</mi><mn>8</mn></msup></math> | ⠊⠰⠔⠼⠓ | ⠊⠘⠦
✗ | <math><mtable columnalign="left"><mtr columnalign="left"><mtd columnalign="left"><mrow><mspace width="1em"></mspace><mo>−</mo><mn>2</mn><mi>x</mi><mo>−</mo><mn>1</mn><mo>≥</mo><mn>5</mn></mrow></mtd><mtd columnalign="left"><mrow/></mtd></mtr><mtr columnalign="left"><mtd columnalign="left"><mrow><mspace width="3em"></mspace><mo>−</mo><mn>2</mn><mi>x</mi><mo>≥</mo><mn>6</mn></mrow></mtd><mtd columnalign="left"><mrow/></mtd></mtr><mtr columnalign="left"><mtd columnalign="left"><mrow><mrow><mo>(</mo><mrow><mo>−</mo><mfrac><mn>1</mn><mn>2</mn></mfrac></mrow><mo>)</mo></mrow><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mi>x</mi><mo stretchy="false">)</mo><mo>≥</mo><mo stretchy="false">(</mo><mn>6</mn><mo stretchy="false">)</mo><mrow><mo>(</mo><mrow><mo>−</mo><mfrac><mn>1</mn><mn>2</mn></mfrac></mrow><mo>)</mo></mrow></mrow></mtd><mtd columnalign="left"><mrow><mspace width="2em"></mspace><mtext>Multiply by</mtext><mo>−</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>.</mo></mrow></mtd></mtr><mtr columnalign="left"><mtd columnalign="left"><mrow><mspace width="4em"></mspace><mi>x</mi><mo>≤</mo><mo>−</mo><mn>3</mn></mrow></mtd><mtd columnalign="left"><mrow><mspace width="2em"></mspace><mtext>Reverse the inequality</mtext><mo>.</mo></mrow></mtd></mtr></mtable></math> | ⠠⠀⠐⠤⠼⠃⠭⠐⠤⠼⠁⠀⠸⠈⠜⠀⠼⠑⠀⠬⠠⠠⠬⠐⠤⠼⠃⠭⠀⠸⠈⠜⠀⠼⠋⠀⠬⠠⠠⠐⠣⠐⠤⠼⠁⠌⠃⠐⠜⠐⠣⠐⠤⠼⠃⠭⠐⠜⠀⠸⠈⠜⠀⠐⠣⠼⠋⠐⠜⠐⠣⠐⠤⠼⠁⠌⠃⠐⠜⠀⠬⠠⠍⠥⠇⠞⠊⠏⠇⠽⠀⠃⠽⠐⠤⠼⠁⠌⠃⠲⠠⠠⠬⠭⠀⠸⠈⠣⠀⠐⠤⠼⠉⠀⠬⠠⠗⠑⠧⠻⠎⠑⠀⠮⠀⠔⠑⠟⠥⠁⠇⠊⠞⠽⠲⠠ | ⠭⠀⠣⠨⠅⠀⠤⠼⠒
✗ | <math><mrow><mo>−</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mi>x</mi><mo>≤</mo><mo>−</mo><mfrac><mn>5</mn><mn>4</mn></mfrac><mo>+</mo><mfrac><mn>2</mn><mn>5</mn></mfrac><mi>x</mi></mrow></math> | ⠐⠤⠼⠁⠌⠃⠭⠀⠸⠈⠣⠀⠐⠤⠼⠑⠌⠙⠐⠖⠼⠃⠌⠑⠭ | ⠤⠹⠼⠂⠌⠼⠆⠼⠭⠀⠣⠨⠅⠀⠤⠹⠼⠢⠌⠼⠲⠼⠬⠹⠼⠆⠌⠼⠢⠼⠭
✗ | <math><mrow><mo stretchy="false">(</mo><mn>−2</mn><mo>,</mo><mn>−6</mn><mo stretchy="false">)</mo><mo>,</mo><mo stretchy="false">(</mo><mn>1</mn><mo>,</mo><mtext>−12</mtext><mo stretchy="false">)</mo><mo>,</mo><mo stretchy="false">(</mo><mn>5</mn><mo>,</mo><mn>−20</mn><mo stretchy="false">)</mo><mo>,</mo><mo stretchy="false">(</mo><mn>6</mn><mo>,</mo><mtext>−22</mtext><mo stretchy="false">)</mo><mo>,</mo><mo stretchy="false">(</mo><mn>9</mn><mo>,</mo><mtext>−28</mtext><mo stretchy="false">)</mo><mo>;</mo></mrow></math> | ⠐⠣⠐⠤⠼⠃⠂⠀⠐⠤⠼⠋⠐⠜⠂⠀⠐⠣⠼⠁⠂⠀⠐⠤⠼⠁⠃⠐⠜⠂⠀⠐⠣⠼⠑⠂⠀⠐⠤⠼⠃⠚⠐⠜⠂⠀⠐⠣⠼⠋⠂⠀⠐⠤⠼⠃⠃⠐⠜⠂⠀⠐⠣⠼⠊⠂⠀⠐⠤⠼⠃⠓⠐⠜⠆ | ⠷⠤⠼⠆⠂⠀⠤⠼⠖⠾⠂⠀⠷⠼⠂⠂⠀⠤⠼⠂⠆⠾⠂⠀⠷⠼⠢⠂⠀⠤⠼⠆⠴⠾⠂⠀⠷⠼⠖⠂⠀⠤⠼⠆⠆⠾⠂⠀⠷⠼⠔⠂⠀⠤⠼⠆⠦⠾⠆
✗ | <math><mtable columnalign="left"><mtr columnalign="left"><mtd columnalign="left"><mrow><msub><mi>S</mi><mi>n</mi></msub><mo>=</mo><mfrac><mrow><msub><mi>a</mi><mn>1</mn></msub><mrow><mo>(</mo><mrow><mn>1</mn><mo>−</mo><msup><mi>r</mi><mi>n</mi></msup></mrow><mo>)</mo></mrow></mrow><mrow><mn>1</mn><mo>−</mo><mi>r</mi></mrow></mfrac></mrow></mtd></mtr><mtr columnalign="left"><mtd columnalign="left"><mrow><msub><mi>S</mi><mn>11</mn></msub><mo>=</mo><mfrac><mrow><mn>8</mn><mrow><mo>(</mo><mrow><mn>1</mn><mo>−</mo><msup><mrow><mo>(</mo><mrow><mo>−</mo><mfrac><mn>1</mn><mn>2</mn></mfrac></mrow><mo>)</mo></mrow><mn>11</mn></msup></mrow><mo>)</mo></mrow></mrow><mrow><mn>1</mn><mo>−</mo><mrow><mo>(</mo><mrow><mo>−</mo><mfrac><mn>1</mn><mn>2</mn></mfrac></mrow><mo>)</mo></mrow></mrow></mfrac><mo>≈</mo><mn>5.336</mn></mrow></mtd></mtr></mtable></math> | ⠰⠰⠰⠠⠠⠎⠢⠝⠀⠐⠶⠀⠷⠁⠢⠼⠁⠐⠣⠼⠁⠐⠤⠗⠔⠝⠐⠜⠨⠌⠼⠁⠐⠤⠗⠾⠠⠠⠠⠎⠢⠼⠁⠁⠀⠐⠶⠀⠷⠼⠓⠐⠣⠼⠁⠐⠤⠐⠣⠐⠤⠼⠁⠌⠃⠐⠜⠔⠼⠁⠁⠐⠜⠨⠌⠼⠁⠐⠤⠐⠣⠐⠤⠼⠁⠌⠃⠐⠜⠾⠀⠘⠔⠀⠼⠑⠲⠉⠉⠋⠠⠰⠄ | ⠠⠎⠂⠂⠂⠀⠨⠅⠀⠹⠼⠦⠷⠼⠂⠤⠷⠤⠹⠼⠂⠌⠼⠆⠼⠾⠘⠂⠂⠾⠌⠼⠂⠤⠷⠤⠹⠼⠂⠌⠼⠆⠼⠾⠼⠀⠘⠱⠀⠼⠢⠲⠒⠒⠖
✗ | <math><mrow><mi>z</mi><mo>=</mo><mn>0</mn><mo>+</mo><mn>4</mn><mi>i</mi></mrow></math> | ⠰⠵⠀⠐⠶⠀⠼⠚⠐⠖⠼⠙⠰⠊ | ⠵⠀⠨⠅⠀⠼⠴⠬⠼⠲⠊|
✗ | <math><mrow><mi>z</mi><mo>=</mo><mn>3</mn><mi>i</mi></mrow></math> | ⠰⠵⠀⠐⠶⠀⠼⠉⠰⠊ | ⠵⠀⠨⠅⠀⠼⠒⠊
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>−</mi><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo>−</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>.</mo></mrow></math> | ⠋⠐⠣⠐⠤⠭⠐⠜⠀⠐⠶⠀⠐⠤⠋⠐⠣⠭⠐⠜⠲ | ⠰⠋⠷⠤⠭⠾⠀⠨⠅⠀⠤⠰⠋⠷⠭⠾⠲
✗ | <math><mrow><mi>f</mi><mrow><mo>(</mo><mrow><mo>−</mo><mi>x</mi></mrow><mo>)</mo></mrow><mo>=</mo><mn>−2</mn><msup><mrow><mo>(</mo><mrow><mo>−</mo><mi>x</mi><mo>+</mo><mn>3</mn></mrow><mo>)</mo></mrow><mn>2</mn></msup><mrow><mo>(</mo><mrow><mo>−</mo><mi>x</mi><mo>–</mo><mn>5</mn></mrow><mo>)</mo></mrow></mrow></math> | ⠋⠐⠣⠐⠤⠭⠐⠜⠀⠐⠶⠀⠐⠤⠼⠃⠐⠣⠐⠤⠭⠐⠖⠼⠉⠐⠜⠔⠼⠃⠐⠣⠐⠤⠭⠠⠤⠼⠑⠐⠜ | ⠰⠋⠷⠤⠭⠾⠀⠨⠅⠀⠤⠼⠆⠷⠤⠭⠬⠼⠒⠾⠘⠆⠷⠤⠭⠤⠼⠢⠾
✗ | <math><mrow><mn>11</mn><mo>−</mo><mn>3</mn><mi>y</mi></mrow></math> | ⠼⠁⠁⠐⠤⠼⠉⠽ | ⠼⠂⠂⠀⠤⠀⠼⠒⠽
✗ | <math><mrow><msup><mrow><mo>(</mo><mrow><mn>4</mn><mo>+</mo><mn>5</mn></mrow><mo>)</mo></mrow><mn>2</mn></msup><mo>÷</mo><mn>3</mn></mrow></math> | ⠐⠣⠼⠙⠐⠖⠼⠑⠐⠜⠔⠼⠃⠐⠌⠼⠉ | ⠷⠼⠲⠬⠼⠢⠾⠘⠆⠀⠨⠌⠀⠼⠒
✗ | <math><mrow><mn>7</mn><mi>z</mi><mo>−</mo><mn>3</mn><mo>+</mo><mi>z</mi><mspace width="0.5em"></mspace><mo>×</mo><mspace width="0.5em"></mspace><msup><mn>6</mn><mn>2</mn></msup></mrow></math> | ⠼⠛⠵⠐⠤⠼⠉⠐⠖⠵⠀⠐⠦⠀⠼⠋⠔⠼⠃ | ⠼⠶⠵⠀⠤⠀⠼⠒⠀⠬⠀⠵⠀⠨⠭⠀⠼⠖⠘⠆
✗ | <math><mrow><mn>0</mn><mo>≤</mo><mi>P</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo><mo>≤</mo><mn>1.</mn></mrow></math> | ⠼⠚⠀⠸⠈⠣⠀⠠⠏⠐⠣⠠⠑⠐⠜⠀⠸⠈⠣⠀⠼⠁⠲ | ⠼⠴⠀⠨⠣⠀⠰⠠⠏⠷⠰⠠⠑⠾⠀⠨⠣⠀⠼⠂⠲
✗ | <math><mrow><mn>3</mn><mo>,</mo><mn>4</mn><mo>,</mo></mrow></math> | ⠼⠉⠂⠀⠼⠙⠂⠀ | ⠼⠒⠂⠀⠼⠲⠂
